Event,Deadline Date,Case File
CDR Empowered Group approved restructuring package,2012-03-16,filename.pdf
CDR Cell issued letter setting out restructure package details,2012-03-29,filename.pdf
Master Restructuring Agreement entered into,2012-03-30,filename.pdf
Corporate Debtor account classified as NPA,2014-01-23,filename.pdf
Financial Creditor filed CP (IB) No.132/7/ HDB/2018,2019-10-21,filename.pdf
Insolvency and Bankruptcy Rules for Personal Guarantors came into force,2019-12-01,filename.pdf
Demand notice issued to Personal Guarantor,2020-06-20,filename.pdf
Demand notice served on Personal Guarantor,2020-06-30,filename.pdf
Tribunal ordered for Liquidation of Corporate Debtor,2020-08-18,filename.pdf
Interim moratorium passed and Resolution Professional appointed,2021-07-14,filename.pdf
Application admitted under Section 100 and moratorium declared,2022-02-04,filename.pdf
Repayment Plan submitted by Personal Guarantor rejected by CoC,2023-07-22,filename.pdf
Interim Application for Bankruptcy disposed of,2023-03-28,filename.pdf
Amount claimed to be in default as on,2023-11-22,filename.pdf
Order date of Bankruptcy,2024-05-07,filename.pdf
Registry to provide copy of Bankruptcy order and petition to creditors and bankruptcy trustee,2024-05-14,filename.pdf
Bankrupt to submit statement of financial position,2024-05-14,filename.pdf
Bankruptcy Trustee to send notices to creditors under Section 130(a),2024-05-17,filename.pdf
Bankruptcy Trustee to submit preliminary report,2024-08-05,filename.pdf
Bankruptcy Trustee to submit first periodical progress report (for quarter ending June 2024),2024-07-15,filename.pdf
NCLT Order Pronouncement,2026-05-06,Pavitra Order dated 06.05.2026.pdf
Detailed order uploaded on NCLT portal,2026-05-06,Pavitra Order dated 06.05.2026.pdf
Application filed by Pavitra Commercial Limited for CIRP,2025-06-06,Pavitra Order dated 06.05.2026.pdf
Board Resolution authorizing applicant's signatory,2025-04-07,Pavitra Order dated 06.05.2026.pdf
Date of default (1st ICD),2019-08-19,Pavitra Order dated 06.05.2026.pdf
Date of default (2nd ICD),2019-10-01,Pavitra Order dated 06.05.2026.pdf
Date of default (3rd ICD),2019-10-09,Pavitra Order dated 06.05.2026.pdf
Date of default (4th ICD),2019-10-10,Pavitra Order dated 06.05.2026.pdf
Date of default (5th ICD),2019-08-31,Pavitra Order dated 06.05.2026.pdf
IRP's Authorisation for Assignment valid until,2026-12-30,Pavitra Order dated 06.05.2026.pdf
RBI Certificate issued to Pavitra Commercial Limited,2023-01-09,Pavitra Order dated 06.05.2026.pdf
Start of period for Inter Corporate Deposits lending,2019-05-20,Pavitra Order dated 06.05.2026.pdf
End of period for Inter Corporate Deposits lending,2019-08-14,Pavitra Order dated 06.05.2026.pdf
Due date for 1st ICD,2019-08-19,Pavitra Order dated 06.05.2026.pdf
Financial Creditor sent email seeking repayment of 1st ICD,2019-08-22,Pavitra Order dated 06.05.2026.pdf
Financial Creditor sent letter seeking repayment of 1st ICD,2019-08-20,Pavitra Order dated 06.05.2026.pdf
Due date for 5th ICD,2019-08-31,Pavitra Order dated 06.05.2026.pdf
Financial Creditor sent email seeking repayment of 5th ICD,2019-08-31,Pavitra Order dated 06.05.2026.pdf
Financial Creditor sent letter seeking repayment of 5th ICD,2019-08-30,Pavitra Order dated 06.05.2026.pdf
Due date for 2nd ICD,2019-10-01,Pavitra Order dated 06.05.2026.pdf
Due date for 3rd ICD,2019-10-09,Pavitra Order dated 06.05.2026.pdf
Due date for 4th ICD,2019-10-10,Pavitra Order dated 06.05.2026.pdf
Financial Creditor requested repayment of entire amount on or before,2020-05-21,Pavitra Order dated 06.05.2026.pdf
Financial Creditor sent email seeking balance confirmation,2020-06-04,Pavitra Order dated 06.05.2026.pdf
Corporate Debtor confirmed balance obligation via email,2020-06-19,Pavitra Order dated 06.05.2026.pdf
Start of period Corporate Debtor paid interest component,2020-09-23,Pavitra Order dated 06.05.2026.pdf
End of period Corporate Debtor paid interest component,2021-11-12,Pavitra Order dated 06.05.2026.pdf
Corporate Debtor acknowledged liability via email with letter,2021-08-31,Pavitra Order dated 06.05.2026.pdf
Outstanding total balance acknowledged by Corporate Debtor as on,2021-03-31,Pavitra Order dated 06.05.2026.pdf
Financial Creditor sent email with statement of outstanding balance,2021-09-08,Pavitra Order dated 06.05.2026.pdf
Corporate Debtor acknowledged liability via email (Exhibit Q),2022-03-08,Pavitra Order dated 06.05.2026.pdf
Financial Creditor responded to Corporate Debtor's email (08.03.2022),2022-06-16,Pavitra Order dated 06.05.2026.pdf
Corporate Debtor acknowledged debt via email (Exhibit S),2022-06-18,Pavitra Order dated 06.05.2026.pdf
Financial Creditor responded to Corporate Debtor's email (18.06.2022),2022-06-21,Pavitra Order dated 06.05.2026.pdf
Corporate Debtor sent email wrongly stating transaction nature (Exhibit U),2022-06-24,Pavitra Order dated 06.05.2026.pdf
Corporate Debtor liable to pay total sum as on,2025-04-30,Pavitra Order dated 06.05.2026.pdf
Affidavit in reply filed by Corporate Debtor,2025-10-18,Pavitra Order dated 06.05.2026.pdf
Oral submissions made by Corporate Debtor,2025-10-16,Pavitra Order dated 06.05.2026.pdf
Hearing held by Tribunal regarding additional affidavit,2026-01-14,Pavitra Order dated 06.05.2026.pdf
Additional affidavit dated by Corporate Debtor,2026-01-13,Pavitra Order dated 06.05.2026.pdf
Deadline for Corporate Debtor to deposit cost for additional affidavit,2026-01-21,Pavitra Order dated 06.05.2026.pdf
Hearing held by Tribunal (Corporate Debtor failed to deposit cost),2026-02-17,Pavitra Order dated 06.05.2026.pdf
CIRP admitted and moratorium declared,2026-05-06,Pavitra Order dated 06.05.2026.pdf
Public announcement of CIRP to be made immediately,2026-05-06,Pavitra Order dated 06.05.2026.pdf
"Financial Creditor to deposit initial CIRP cost of Rs. 3,00,000 with IRP",2026-05-06,Pavitra Order dated 06.05.2026.pdf
Order copy to be sent to Registrar of Companies, Mumbai,2026-05-06,Pavitra Order dated 06.05.2026.pdf
IRP to issue notice of Admission to all statutory authorities,2026-05-06,Pavitra Order dated 06.05.2026.pdf
Order copy to be forwarded to IBBI,2026-05-06,Pavitra Order dated 06.05.2026.pdf
Order to be communicated to FC, CD, and IRP by Registry,2026-05-21,Pavitra Order dated 06.05.2026.pdf
Compliance report of the order to be submitted by Designated Registrar,2026-05-21,Pavitra Order dated 06.05.2026.pdfOrder Date / Commencement of CIRP (T),2026-05-06,Pavitra Order dated 06.05.2026.pdf
Public announcement inviting claims (T+3),2026-05-09,Pavitra Order dated 06.05.2026.pdf
Submission of claims (T+14),2026-05-20,Pavitra Order dated 06.05.2026.pdf
Verification of claims (T+21),2026-05-27,Pavitra Order dated 06.05.2026.pdf
Constitution of CoC (T+23),2026-05-29,Pavitra Order dated 06.05.2026.pdf
First meeting of the CoC (T+30),2026-06-05,Pavitra Order dated 06.05.2026.pdf
Submission of Information Memorandum to CoC (T+54),2026-06-29,Pavitra Order dated 06.05.2026.pdf
Publish Form G - Invitation of EOI (T+75),2026-07-20,Pavitra Order dated 06.05.2026.pdf
Submission of EOI (T+90),2026-08-04,Pavitra Order dated 06.05.2026.pdf
Provisional List of Resolution Applicants (T+100),2026-08-14,Pavitra Order dated 06.05.2026.pdf
Final List of Resolution Applicants (T+115),2026-08-29,Pavitra Order dated 06.05.2026.pdf
Normal CIRP Completion Deadline (T+180),2026-11-02,Pavitra Order dated 06.05.2026.pdf
